incident_id,incident_datetime,borough,dispatch_area,zipcode,travel_seconds,response_seconds,start_lat,start_lon,dest_lat,dest_lon,depot_id,depot_name,depot_layer,start_source,start_mode,crow_flies_km,prefer_borough,initial_call_type,final_call_type,alarm_box_borough,alarm_box_number,alarm_box_location,dispatch_wait_seconds,valid_incident_rspns_time_indc,engines_assigned_quantity,ladders_assigned_quantity,other_units_assigned_quantity,highest_alarm_level,borough_norm,dispatch_borough,modzcta
260630-M1188-001-1346,2026-06-30T20:50:48.000,MANHATTAN,1188,10128,335.0,371.0,40.778622,-73.955311,40.78040394504142,-73.9503467842834,26,Battalion 10/Engine 22/Ladder 13,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.46257300161894116,MANHATTAN,Utility Emergency - Gas,NonMedical Emergencies,MANHATTAN,1188,2 AVE & E 89 ST,35,Y,1.0,1.0,0.0,First Alarm,MANHATTAN,,10128
260630-M0424-003-1342,2026-06-30T20:49:32.000,MANHATTAN,424,10009,336.0,380.0,40.7277487,-73.97617988,40.726802221346986,-73.9787312857601,371,CSL E 13 ST & AVE C/LOISAIDA AVE,csl,nearest_synthetic_csl_in_manhattan,hybrid_csl,0.23937419756699468,MANHATTAN,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,MANHATTAN,424,E 3 ST & AVE C/LOISAIDA AVE,43,Y,0.0,1.0,0.0,First Alarm,MANHATTAN,,10009
260630-M0068-003-1340,2026-06-30T20:48:11.000,MANHATTAN,68,10007,373.0,407.0,40.715339,-74.0063,40.71354369879897,-74.00710693558435,2,Manhattan Borough Command/Battalion 1/Engine 7/Ladder 1,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.21089551298053785,MANHATTAN,Elevator Emergency - Occupied,NonMedical Emergencies,MANHATTAN,68,CHURCH & CORTLANDT STS,33,Y,0.0,1.0,1.0,First Alarm,MANHATTAN,,10007
260630-X2962-002-0966,2026-06-30T20:46:15.000,BRONX,2962,10453,227.0,274.0,40.8494181,-73.91112232,40.85260992626471,-73.91321825605405,289,CSL JEROME AVE & MOUNT HOPE PL,csl,nearest_synthetic_csl_in_bronx,hybrid_csl,0.3962851555993346,BRONX,Alarm System - Unnecessary,NonMedical Emergencies,BRONX,2962,ANDREWS AVE & W 176 ST,46,Y,1.0,1.0,1.0,First Alarm,BRONX,,10453
260630-B2510-001-0898,2026-06-30T20:44:54.000,BROOKLYN,2510,11218,169.0,196.0,40.651175,-73.975574,40.644381607573926,-73.97730502780846,126,Battalion 48/Engine 240,fdny_firehouse,nearest_firehouse_in_brooklyn,hybrid_static,0.7693784803730396,BROOKLYN,Odor - Other Than Smoke,NonMedical Emergencies,BROOKLYN,2510,CORTELYOU RD & E 7 ST,27,Y,3.0,2.0,1.0,First Alarm,BROOKLYN,,11218
260630-M1293-001-1335,2026-06-30T20:43:27.000,MANHATTAN,1293,10029,326.0,348.0,40.793843,-73.940791,40.79181061410928,-73.94389258547608,29,Engine 91,fdny_firehouse,nearest_firehouse_in_manhattan,hybrid_static,0.3453197285352938,MANHATTAN,Assist Civilian - Non-Medical,NonMedical Emergencies,MANHATTAN,1293,5 AVE & E 104 ST,22,Y,0.0,1.0,0.0,First Alarm,MANHATTAN,,10029
260630-X3129-003-0964,2026-06-30T20:40:50.000,BRONX,3129,10457,315.0,321.0,40.846372,-73.899241,40.84697506197675,-73.89769511018748,58,Bronx Borough Command,fdny_firehouse,nearest_firehouse_in_bronx,hybrid_static,0.14630472789786766,BRONX,Assist Civilian - Non-Medical,NonMedical Emergencies,BRONX,3129,HUGHES AVE & E 179 ST,5,Y,1.0,0.0,0.0,First Alarm,BRONX,,10457
260630-B2312-001-0893,2026-06-30T20:40:41.000,BROOKLYN,2312,11203,228.0,235.0,40.64824326,-73.92899371,40.64868812356477,-73.93389672596783,607,CSL TILDEN AVE & E 51 ST,csl,nearest_synthetic_csl_in_brooklyn,hybrid_csl,0.41659450347815685,BROOKLYN,Medical - No PT Contact EMS is Onscene,Medical Emergencies,BROOKLYN,2312,CHURCH AVE & E 55 ST,7,Y,1.0,0.0,0.0,First Alarm,BROOKLYN,,11203
260630-Q4461-001-0727,2026-06-30T20:40:37.000,QUEENS,4461,11354,299.0,352.0,40.7668872,-73.82395033,40.76659381032573,-73.82355151578537,541,CSL 34 AVE & PARSONS BLVD,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.04682252865691017,QUEENS,Elevator Emergency - Occupied,NonMedical Emergencies,QUEENS,4461,39 AVE & COLLEGE PT BLVD,53,Y,0.0,2.0,0.0,First Alarm,QUEENS,,11354
260630-Q9870-001-0724,2026-06-30T20:39:42.000,QUEENS,9870,11432,210.0,220.0,40.71699938,-73.78961771,40.71495048336277,-73.79223361830964,394,CSL CROYDEN RD & MAYFIELD RD,csl,nearest_synthetic_csl_in_queens,hybrid_csl,0.31703645903177435,QUEENS,Medical - Breathing / Ill or Sick,Medical Emergencies,QUEENS,9870,89 AVE & PARSONS BLVD,9,Y,1.0,0.0,0.0,First Alarm,QUEENS,,11432
